sno,sna,sarea,cluster,mean_rent,mean_return,empty_ratio,full_ratio,morning_rent,evening_rent
1002,Test Station New,Test Area,0,10.0,5.0,0.0,0.0,0.0,0.0
500101001,YouBike2.0_捷運科技大樓站,大安區,2,11.889830508474576,15.897245762711865,0.0,0.009533898305084746,15.297297297297296,15.093137254901961
500101002,YouBike2.0_復興南路二段273號前,大安區,2,8.601694915254237,12.370762711864407,0.07838983050847458,0.04025423728813559,13.432432432432432,11.759803921568627
500101003,YouBike2.0_國北教大實小東側門,大安區,2,17.656779661016948,9.922669491525424,0.006355932203389831,0.05508474576271186,19.783783783783782,16.33823529411765
500101004,YouBike2.0_和平公園東側,大安區,0,5.643008474576271,5.216101694915254,0.0858050847457627,0.09110169491525423,5.081081081081081,8.299019607843137
500101005,YouBike2.0_辛亥復興路口西北側,大安區,0,5.961864406779661,10.038135593220339,0.05190677966101695,0.020127118644067795,7.513513513513513,2.892156862745098
500101006,YouBike2.0_復興南路二段280號前,大安區,2,15.995762711864407,10.998940677966102,0.0,0.01694915254237288,14.0,19.818627450980394
500101007,YouBike2.0_復興南路二段340巷口,大安區,0,4.697033898305085,6.302966101694915,0.08792372881355932,0.06673728813559322,4.594594594594595,6.098039215686274
500101008,YouBike2.0_新生南路三段52號前,大安區,0,9.663135593220339,7.336864406779661,0.057203389830508475,0.19915254237288135,6.837837837837838,13.607843137254902
500101009,YouBike2.0_新生南路三段66號前,大安區,0,8.189618644067796,7.810381355932203,0.037076271186440676,0.15783898305084745,3.7837837837837838,14.995098039215685
500101010,YouBike2.0_新生南路三段82號前,大安區,2,8.979872881355933,10.190677966101696,0.0423728813559322,0.1705508474576271,7.756756756756757,17.80392156862745
500101012,YouBike2.0_辛亥路一段30號前,大安區,0,4.3326271186440675,2.527542372881356,0.11758474576271187,0.3008474576271186,3.5135135135135136,4.509803921568627
500101013,YouBike2.0_和平復興路口西北側,大安區,0,7.119703389830509,1.8802966101694916,0.005296610169491525,0.24470338983050846,6.081081081081081,7.862745098039215
500101014,YouBike2.0_羅斯福路三段311號前,大安區,0,5.926906779661017,3.5582627118644066,0.03072033898305085,0.13347457627118645,3.918918918918919,7.230392156862745
500101015,YouBike2.0_大安運動中心停車場,大安區,0,3.669491525423729,15.330508474576272,0.07944915254237288,0.006355932203389831,7.594594594594595,0.7843137254901961
500101016,YouBike2.0_羅斯福路三段245號前,大安區,0,4.122881355932203,3.8771186440677967,0.17478813559322035,0.1705508474576271,3.4864864864864864,4.818627450980392
500101018,YouBike2.0_溫州公園,大安區,0,3.016949152542373,1.8527542372881356,0.125,0.3463983050847458,1.945945945945946,3.9019607843137254
500101019,YouBike2.0_和平臥龍街口,大安區,2,13.757415254237289,10.198093220338983,0.00423728813559322,0.057203389830508475,12.027027027027026,11.980392156862745
500101020,YouBike2.0_溫州停車場,大安區,0,0.0,5.0,1.0,0.0,0.0,0.0
500101021,YouBike2.0_銘傳國小側門,大安區,0,4.1673728813559325,2.7235169491525424,0.11970338983050847,0.1716101694915254,1.135135135135135,5.848039215686274
500101022,YouBike2.0_捷運公館站(2號出口),大安區,3,40.70550847457627,36.545550847457626,0.0,0.020127118644067795,14.891891891891891,51.544117647058826
500101023,YouBike2.0_第二學生活動中心,大安區,1,27.359110169491526,58.623940677966104,0.006355932203389831,0.0,22.513513513513512,20.004901960784313
500101024,YouBike2.0_臺灣科技大學正門,大安區,1,10.478813559322035,39.15677966101695,0.13559322033898305,0.024364406779661018,19.756756756756758,1.9313725490196079
500101025,YouBike2.0_臺灣科技大學側門,大安區,1,14.672669491525424,78.87711864406779,0.0,0.006355932203389831,40.486486486486484,2.857843137254902
500101026,YouBike2.0_公館公園,大安區,0,7.063559322033898,22.9364406779661,0.24152542372881355,0.018008474576271187,14.972972972972974,0.28431372549019607
500101027,YouBike2.0_臺灣科技大學後門,大安區,2,14.802966101694915,24.15042372881356,0.09427966101694915,0.04025423728813559,6.243243243243243,5.014705882352941
500101028,YouBike2.0_臺大醫學院附設癌醫中心,大安區,0,7.021186440677966,11.973516949152541,0.1048728813559322,0.05614406779661017,15.054054054054054,3.8872549019607843
500101029,YouBike2.0_臺大環研大樓,大安區,1,3.680084745762712,37.31991525423729,0.19279661016949154,0.0,3.2432432432432434,1.7205882352941178
500101030,YouBike2.0_臺大永齡生醫工程館,大安區,2,11.25,22.75,0.13453389830508475,0.007415254237288136,18.027027027027028,1.5637254901960784
500101031,YouBike2.0_臺大男七舍前,大安區,0,7.0275423728813555,12.935381355932204,0.1694915254237288,0.03177966101694915,10.108108108108109,1.3284313725490196
500101032,YouBike2.0_臺大男一舍前,大安區,1,18.89300847457627,42.10699152542373,0.10805084745762712,0.1260593220338983,30.35135135135135,3.843137254901961
500101033,YouBike2.0_臺大男六舍前,大安區,2,12.236228813559322,27.309322033898304,0.1864406779661017,0.13347457627118645,13.378378378378379,1.0196078431372548
500101034,YouBike2.0_臺大動物醫院前,大安區,0,4.580508474576271,13.419491525423728,0.1864406779661017,0.026483050847457626,12.405405405405405,0.5196078431372549
500101035,YouBike2.0_臺大土木研究大樓前,大安區,0,5.15042372881356,18.84957627118644,0.1271186440677966,0.005296610169491525,6.45945945945946,1.3431372549019607
500101036,YouBike2.0_臺大萬才館前,大安區,0,2.7436440677966103,17.25635593220339,0.2065677966101695,0.01059322033898305,6.4324324324324325,0.47058823529411764
500101037,YouBike2.0_臺大國青大樓宿舍前,大安區,0,5.6059322033898304,14.39406779661017,0.10699152542372882,0.01694915254237288,7.783783783783784,1.0980392156862746
